#    201
polymer number    rg squared    mean rg
  1.0000    23.3006     4.7134
  2.0000   1060.0461    32.5260
  3.0000    16.2676     3.9466
  4.0000    13.3197     3.6049
  5.0000   142.6498    11.8836
  6.0000    25.4089     4.8592
  7.0000   130.2262    11.2000
  8.0000   1156.0923    33.9633
  9.0000   1086.3065    32.9012
 10.0000    14.5924     3.7781
 11.0000   821.8288    28.6175
 12.0000    16.1867     3.9622
 13.0000    77.5780     8.6831
 14.0000    16.2751     4.0055
 15.0000   326.7429    17.9888
 16.0000    10.9542     3.2475
 17.0000    14.7495     3.7836
 18.0000    12.8336     3.5581
 19.0000    17.7525     4.1497
 20.0000   318.2085    17.7127
 21.0000    11.7987     3.3983
 22.0000    19.0642     4.3082
 23.0000    13.8827     3.6843
 24.0000   672.4316    25.8160
 25.0000    14.0348     3.7042
 26.0000   1823.3804    42.5404
 27.0000    21.8081     4.6073
 28.0000    16.5912     4.0370
 29.0000    70.9746     8.4043
 30.0000    14.1550     3.7006
 31.0000   784.5864    27.8429
 32.0000    17.9169     4.1624
 33.0000    16.2571     3.9569
 34.0000   351.4710    18.6887
 35.0000   155.1759    12.2431
 36.0000    15.2027     3.8758
 37.0000   210.7495    14.4285
 38.0000    14.7545     3.7749
 39.0000   278.0184    16.6578
 40.0000    17.1724     4.0377
 41.0000    14.4174     3.7149
 42.0000    14.6777     3.7735
 43.0000    76.0666     8.6893
 44.0000    13.6396     3.6232
 45.0000   1325.0480    36.3765
 46.0000    15.8457     3.9519
 47.0000   186.1345    13.5855
 48.0000   234.6317    15.2451
 49.0000    16.7595     4.0266
 50.0000    17.5862     4.1242
 51.0000   1048.9498    32.3414
 52.0000   391.9746    19.7239
 53.0000    11.4326     3.3426
 54.0000    11.3818     3.3338
 55.0000    94.8192     9.7210
 56.0000    71.6922     8.3734
 57.0000   100.8220    10.0096
 58.0000   2382.2502    48.7868
 59.0000   328.8198    17.9402
 60.0000   174.4477    12.7831
 61.0000   810.0196    28.1547
 62.0000    14.5312     3.7747
 63.0000   125.4897    11.1043
 64.0000   508.4449    22.5323
 65.0000   2596.9555    50.8265
 66.0000   767.0587    27.6074
 67.0000   1348.4456    36.6835
 68.0000    14.3436     3.7037
 69.0000    15.0847     3.8408
 70.0000    14.1883     3.7344
 71.0000   252.1103    15.8356
 72.0000    19.3107     4.2517
 73.0000   225.0635    14.8729
 74.0000    13.6172     3.6451
 75.0000   760.7273    27.4256
 76.0000   562.9518    23.6190
 77.0000   206.0859    14.0754
 78.0000    16.8442     4.0669
 79.0000   804.3252    28.3356
 80.0000    16.3664     4.0216
 81.0000    13.2031     3.6104
 82.0000   162.1930    12.7191
 83.0000    17.7375     4.1448
 84.0000    16.4903     4.0075
 85.0000    12.0458     3.4466
 86.0000    13.9279     3.6814
 87.0000   130.8742    11.4199
 88.0000    17.1334     4.0394
 89.0000   1549.4511    39.2996
 90.0000    15.4309     3.7718
 91.0000    17.9262     4.1173
 92.0000    16.8319     4.0711
 93.0000   160.3007    12.0765
 94.0000   118.2988    10.7088
 95.0000   872.8674    29.4251
 96.0000    11.9780     3.4122
 97.0000    16.0128     3.9214
 98.0000    18.3662     4.1804
 99.0000   2707.0171    52.0011
100.0000   2933.7655    54.1383
101.0000   1292.7837    35.8976
102.0000   1331.4062    36.3994
103.0000   265.0073    16.2232
104.0000   1516.7234    38.8922
105.0000   2021.5103    44.9288
106.0000   169.8087    12.9979
107.0000   778.3195    27.8406
108.0000   1459.9681    38.0604
109.0000    31.5702     5.5678
110.0000    21.5719     4.6055
111.0000   205.7105    14.1664
112.0000    12.6180     3.5013
113.0000   1187.4706    34.4308
114.0000    10.9317     3.2500
115.0000   183.0082    13.4653
116.0000    17.0205     4.0556
117.0000   696.0298    26.2411
118.0000    17.7217     4.1204
119.0000   230.7772    15.1281
120.0000   510.3013    22.4897
121.0000    13.8570     3.6363
122.0000    12.6062     3.4913
123.0000    12.5499     3.5012
124.0000   666.0827    25.7976
125.0000    12.1092     3.4554
126.0000    21.8054     4.5244
127.0000   1240.9486    35.1249
128.0000    41.0051     6.2672
129.0000    15.7204     3.8849
130.0000    16.1497     3.9396
131.0000   566.3049    23.7034
132.0000    12.5917     3.4846
133.0000   1075.9005    32.6908
134.0000   1774.5330    42.0751
135.0000    14.2578     3.7103
136.0000   726.7628    26.9327
137.0000    12.9740     3.5492
138.0000   521.4131    22.7308
139.0000   126.4224    11.1730
140.0000    18.0633     4.1941
141.0000   775.5698    27.7663
142.0000    93.4114     9.6393
143.0000    13.7167     3.6591
144.0000    14.7028     3.7875
145.0000    12.9220     3.5630
146.0000   269.5568    16.3053
147.0000    63.5128     7.9442
148.0000    12.6432     3.5107
149.0000   353.5544    18.7343
150.0000    12.2732     3.4595
151.0000   412.8563    20.1921
152.0000     9.1848     3.0127
153.0000    20.1341     4.4273
154.0000   569.9466    23.7548
155.0000   1544.4286    39.2496
156.0000   3355.2817    57.9136
157.0000   1621.4862    40.2541
158.0000   686.5269    26.1000
159.0000    14.0536     3.7281
160.0000   659.8829    25.6250
161.0000   637.2161    25.2010
162.0000   681.8941    26.0675
163.0000    19.2411     4.3212
164.0000   615.3353    24.7844
165.0000    22.5503     4.6481
166.0000    22.9532     4.7287
167.0000    22.2383     4.6037
168.0000   2340.9488    48.3501
169.0000   806.8356    28.3901
170.0000    13.3798     3.6202
171.0000   265.9565    16.0783
172.0000    16.3531     3.9397
173.0000    29.2533     5.3769
174.0000   238.1046    15.3294
175.0000   731.7438    27.0052
176.0000    13.1539     3.5843
177.0000    14.4846     3.7701
178.0000   159.8429    12.6131
179.0000    15.2810     3.8669
180.0000    12.5663     3.5066
181.0000    19.3060     4.3248
182.0000    42.7471     6.4938
183.0000   1424.3977    37.5598
184.0000    13.0659     3.5822
185.0000   1305.9077    36.0961
186.0000   1259.2913    35.3819
187.0000    13.0571     3.5683
188.0000   105.6799    10.0324
189.0000    18.1300     4.2105
190.0000    14.7978     3.7933
191.0000   109.7461    10.3550
192.0000    18.4265     4.1696
193.0000    18.5593     4.2465
194.0000    16.7720     4.0114
195.0000   105.0918    10.0647
196.0000    28.2029     5.2710
197.0000   758.7005    27.3893
198.0000    27.0820     5.1250
199.0000   1284.0444    35.7870
200.0000    12.6032     3.5166
201.0000   789.3574    27.8223
202.0000   389.6941    19.6481
203.0000   655.2983    25.4032
204.0000    18.2092     4.1399
205.0000   114.4314    10.5256
206.0000   810.7230    28.4479
207.0000    17.4512     4.0706
208.0000   208.7957    14.4089
209.0000   905.4962    30.0156
210.0000   909.5045    30.0311
211.0000    18.9916     4.2670
212.0000   416.1999    20.3794
213.0000    85.9347     9.2565
214.0000   236.3162    15.3203
215.0000    17.2555     4.0891
216.0000   655.6181    25.5427
217.0000    12.4547     3.4962
218.0000    16.9520     4.0017
219.0000   1039.4290    31.9753
220.0000    18.5934     4.2961
221.0000   1848.5661    42.8881
222.0000   535.1071    22.9080
223.0000   183.3244    13.4609
224.0000   617.8461    24.7664
225.0000    17.9673     4.1598
226.0000   128.5533    11.3243
227.0000    10.5502     3.2114
228.0000    14.7016     3.8026
229.0000    15.3103     3.7543
230.0000   269.6641    16.3920
231.0000    10.2719     3.1742
232.0000    10.7778     3.2155
233.0000    19.0552     4.2852
234.0000    14.4671     3.7605
235.0000   808.7318    28.3688
236.0000   768.5886    27.6921
237.0000    14.4286     3.7454
238.0000   1119.2741    33.3801
239.0000   242.8286    15.4500
240.0000    13.3844     3.5931
241.0000    14.3173     3.7349
242.0000   436.4884    20.8297
243.0000   710.1550    26.5701
244.0000   264.8222    16.2279
245.0000   1629.0707    40.2535
246.0000   3866.8842    62.1362
247.0000    15.2287     3.8667
248.0000   876.5471    29.4974
249.0000   790.2169    28.0308
250.0000    13.7395     3.6394
251.0000   104.1916    10.1686
252.0000   587.4033    24.1704
253.0000   295.8433    17.0180
254.0000   1622.6518    40.1966
255.0000    16.0519     3.9094
256.0000   1384.4582    37.1618
257.0000   474.5875    21.6702
258.0000    17.4848     4.0490
259.0000   186.7182    13.6389
260.0000    15.3915     3.8324
261.0000   197.5395    13.9429
262.0000   158.7377    12.5542
263.0000   138.9439    11.7734
264.0000    96.6242     9.7574
265.0000    11.9752     3.4312
266.0000   557.2223    23.3279
267.0000   430.6828    20.6365
268.0000   264.7347    16.0358
269.0000    12.8652     3.5232
270.0000    12.1869     3.4634
271.0000    13.9092     3.6377
272.0000    15.0195     3.7952
273.0000   586.4465    23.9800
274.0000   1158.7967    33.8276
275.0000    21.4328     4.5597
276.0000    70.8469     8.1637
277.0000   524.0216    22.8734
278.0000    13.5312     3.6191
279.0000    24.1292     4.8375
280.0000   346.6450    18.5559
281.0000    20.9826     4.4210
282.0000    14.3771     3.7521
283.0000   464.7617    21.4352
284.0000   1401.2906    37.4086
285.0000    15.6036     3.8940
286.0000    11.9420     3.4050
287.0000    11.6059     3.3479
288.0000   891.5015    29.7845
289.0000    15.3795     3.8764
290.0000   1922.8864    43.8051
291.0000    16.2707     3.9642
292.0000    18.6206     4.2550
293.0000   2235.5284    47.2264
294.0000   1066.5443    32.5577
295.0000    16.0746     3.9135
296.0000   241.3587    15.3851
297.0000    13.7472     3.6694
298.0000    94.6660     9.6341
299.0000   339.5468    18.3081
300.0000    16.6634     4.0179
301.0000   298.7840    17.2422
302.0000    12.2409     3.4449
303.0000    12.8193     3.5279
